Titre,Localisation,Nbr_Chambres,Surface_m2,Prix_FCFA,Image
F4 meublé à louer à la sicap l4,"Liberte 4, Dakar",non précisé,,700000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/9b8b376389d7a48952b34736c09e246f/-/horizon-files-prod/ed/picture/qde7j4j7/e81f45d61a5d05cdd59b72a953f8101d892d5a9a.jpg
2 chambres meublé à louer à liberté 6,"Liberte 6 Extension, Dakar",non précisé,,600000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/a0b4a90f7689886ca1d02513013df3aa/-/horizon-files-prod/ed/picture/q78w6jej/a5dbcc523f4e63a8c2ebde77974b1ea4e804fe7f.jpg
Studio meublé au plateau,"Plateau, Dakar",non précisé,,400000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/c080a8f9607d5f24030291e10661291d/-/horizon-files-prod/ed/picture/qde7v7km/25d6b0482a844edb539033c78953810c6a9afacf.jpg
Appartement f4 meublé à louer à fann résidence,"Fann, Dakar",non précisé,,3500000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/c00c137c6370a815b90d43ade25fe309/-eyJvciI6MH0%3D/horizon-files-prod/ed/picture/qdek8vn7/6a12d9523f111f374e73c41bbfb7f93e4c727c15.jpg
Appartement 2 chambres aux almadies,"Almadies, Dakar",2 chambre,200.0,915000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/b1aa22bd2f7ac4b2f57538a697d92dc1/-/horizon-files-prod/ed/picture/qq4z47e6/03776adf80eb1da135c7c51213bbcb1e5c297c8b.jpg
Appartement meublé à louer,"Zac Mbao, Dakar",3 chambre,150.0,35000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/8abd2f0a2769d75731039355ae327b8b/-/horizon-files-prod/ed/picture/qwerez2m/87b62722f53b0b83b687d08039ce4f665d3f47c3.jpg
Studio chambre salon grand standing,"Almadies, Dakar",non précisé,,30000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/297622cc08462fc8352020be1faf3e13/-/horizon-files-prod/ed/picture/q44jr6r9/59e6e75dd236526b45383135b21d0fc6b035328b.jpg
Appartement meublé climatisé fadia,"Parcelles Assainies, Dakar",3 chambre,150.0,25000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/5ea295c489a644fa0a19fbc353fdcb3f/-/horizon-files-prod/ed/picture/q9m0eg4n/d3f58cd75926503d79e84264221fccf4bd4deee3.jpg
Apts luxe meublés - grands f2-f3 duplex mamelles-dakar,"Mamelles, Dakar",non précisé,,40000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/3d1e34563c81324653180a4791aa9204/-/horizon-files-prod/ed/picture/q0gkgpgm/e22e817e3696ec264871398ccfef1c1c7d30bd06.jpg
Appartement luxeux b2 n85 au maristes,"Hann Maristes, Dakar",2 chambre,120.0,45000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/2b70e4accda5a9fb85c4dda002526bbe/-/horizon-files-prod/ed/picture/q56deqv7/945211c51d0cb4d80f191103725cab5214e46ceb.jpg
Penthouses meublés à maristes,"Hann Maristes, Dakar",non précisé,,75000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/ec337c8fb61279886d11dde1a9b2f4aa/-/horizon-files-prod/ed/picture/q8v4dn56/058b079b0a644e3dd7c0f11463c0bb496c6c4a49.jpg
Studio meublé d4 grand confort maristes,"Hann Maristes, Dakar",1 chambre,100.0,30000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/400aeb777b1b1af9cc21878cd00c211b/-/horizon-files-prod/ed/picture/qv4wqxe5/49c4904cc00561d0eb1f1100ebce92d3da257ffa.jpg
Joli mini studio meublé à louer à ouest foire,"Ouest Foire, Dakar",non précisé,,15000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/548f48acaf5f3050bdec004b43aa3209/-/horizon-files-prod/ed/picture/q2j0p4mp/d46ad83171ac83965a5611a149d35dd146a71c08.jpg
Appartement meublé,"Zone De Captage, Dakar",non précisé,,45000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/d6e83245b3c97b37e18b347ed9f5a2ba/-/horizon-files-prod/ed/picture/q6xq75z4/34ac61a282c5f2c3a2397b0ac661f6e1c861188f.jpg
Nova lodge,"Almadies 2, Dakar",3 chambre,70.0,40000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/8451535883de51b1103c7e1ea643afd2/-/horizon-files-prod/ed/picture/qzv8v228/bca68e5d42f08c2c7b1eea5810d97cc624086c0a.jpg
Studio meublé de luxe,"Liberte 6 Extension, Dakar",non précisé,,25000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/c67810fe83d3a7b4efc4945128d0817a/-eyJvciI6MH0%3D/horizon-files-prod/ed/picture/qv4dm2gm/e2225c1deee17337357d463f72b221cd9d77a514.jpg
Appartement meublé rdc,"Liberte 6 Extension, Dakar",non précisé,,35000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/0af77f676fe55b94506e9a95ec81a367/-/horizon-files-prod/ed/picture/qng95mdm/7b0ce691a3d185028edde4a65322c314d919e5a3.jpg
Studio meublé à saly,"Saly, Thiès",non précisé,,20000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/13d27d6985038465d92c7aaedc8877bc/-/horizon-files-prod/ed/picture/qenv49m2/487e810f285a21c0d07beca9d4617b3ae97f9e43.jpg
Appartement meuble à louer à ngor almadies,"Ngor, Dakar",non précisé,,45000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/a1018f02040823c92492b61415fcac4d/-/horizon-files-prod/ed/picture/qzvpw78d/154a19b31aea45946d454a054b9e0bbca86aea0a.jpg
Appartement f2 meublé à louer à mermoz pyrotechnie,"Mermoz, Dakar",non précisé,,600000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/33b220fcced45b4c5d39e92d77e32d51/-/horizon-files-prod/ed/picture/qm5g8kxg/1b0066902d21d07a5985008bd62c07ee6abeb092.jpg
Appartement f3 meublé à louer à dakar plateau,"Plateau, Dakar",non précisé,,1700000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/64c31825d6b117b42ec0ce014d35a157/-/horizon-files-prod/ed/picture/qkr7m25j/6a339dd6c2ddfa0adc4d9ccf50ada5c4b7e2d3ea.jpg
Appartement f3 meublé à louer aux almadies,"Almadies, Dakar",non précisé,,1200000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/95e23bbb172f4f0259b391672a116950/-/horizon-files-prod/ed/picture/qde9rvw4/66d093f315f3ef4ebdeb4fb5354683cc134b15eb.jpg
Appartement sacre coeur,"Sacré-Cœur, Dakar",non précisé,,25000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/20f50d04fee51ce4966ea2e227665a71/-/horizon-files-prod/ed/picture/qkr7mjwz/ba8ec97023620eaca536456ca9720093fc82e5c4.jpg
Kédougou : résidence fadiga,"Kedougou, Kedougou",2 chambre,18.0,30000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/4ea9ada7fe8604aaa95983ed1c52601c/-/horizon-files-prod/ed/picture/q0gkprek/790885359181e3c49bdf4795d42070b63db85976.jpg
Bel appartement meublé à louer à point e,"Point-E, Dakar",non précisé,,2000000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/b0e54997d979e38f8dfbc0df1a58e2b9/-/horizon-files-prod/ed/picture/qm5gkq2g/5dc3ba69c128255c79abd0115067e983666c8e09.jpg
Bel appartement à louer à liberté extension,"Liberte 6 Extension, Dakar",non précisé,,35000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/7b9b81722d77921f7c25e3c923df4bb3/-/horizon-files-prod/ed/picture/qq4zq0m6/3fa90b12490a684e846c84266efea7227ac34476.jpg
Mini studio et chambre meublée a la sicap foire,"Sicap Foire, Dakar",non précisé,,20000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/6ada0aeef33c0068bad992400a1959c1/-/horizon-files-prod/ed/picture/q56dr86e/2e40fc326e0b2a95da08855b4b6a2aa8e53f46da.jpg
Studio à louer sur fann hock,"Fann Hock, Dakar",non précisé,,45000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/6f1875527ef3938c38b219d17a7c422a/-/horizon-files-prod/ed/picture/q445jk2e/23fbb7fe86c2c5473defd5b8780b649451e74e4e.jpg
Appartement meublé a2 haut standing maristes,"Hann Maristes, Dakar",2 chambre,120.0,40000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/e767c78f164eb1bb62925122230a6703/-/horizon-files-prod/ed/picture/qv4wqxem/91ade1cf5dcba87f34b2448e9547c85c447abe05.jpg
Studio de luxe b7 au maristes,"Hann Maristes, Dakar",1 chambre,100.0,30000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/60ebc17e4cd5e0692d258ae4be3ec959/-/horizon-files-prod/ed/picture/qq42jxw6/21a663b2d8687fafb26be1de0625a33565a21953.jpg
Appartement moderne b3 n85 au maristes,"Hann Maristes, Dakar",2 chambre,120.0,45000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/7d518b0707e040f21ece60aa1a59f8ed/-/horizon-files-prod/ed/picture/q8v4erx0/b7503161d6350c1c26b32c9eee95d3b5c9c74ca0.jpg
Joli studio très moderne,"Mamelles, Dakar",non précisé,,25000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/fc727f774d8287004fb308f0005d3aff/-/horizon-files-prod/ed/picture/qv6ez0k/a2a7860d0c8ce49e8dfb0964185d4ec04c2ee256.jpg
Appartement meublé à baobab,"Sicap Baobab, Dakar",non précisé,,15000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/d150195c2a602c212bb0c6da5f5eba28/-/horizon-files-prod/ed/picture/q564g92e/28f435f0584fe54020f2ff0d07571390cda7a964.jpg
À louer – appartement f3 – ngor almadies meublé,"Ngor, Dakar",2 chambre,140.0,900000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/4e69571afcac4edbb8c9f948d76d9701/-/horizon-files-prod/ed/picture/qxj8d7en/7de4d98bd05497e4a9f4f9344df709e4db85ac0e.jpg
Appartements meublés à louer - cité izra – longue durée,"Mamelles, Dakar",non précisé,,700000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/9edc3a38324801033b552272be845bfb/-/horizon-files-prod/ed/picture/qde7p9p8/f15dd667454aa919261f04289e053e83a7320bd1.jpg
Appartements 2 chambres meublés,"Somone, Thiès",non précisé,,30000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/f5e6872db650607568b654703ef3cdbd/-/horizon-files-prod/ed/picture/qrz8xwz8/e271489c313317a0b3281cda9dd279273d6b6c01.jpg
Appartement meublé à keur gorgui f4,"Cité Keur Gorgui, Dakar",3 chambre,150.0,65000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/00ebe3185848531184ae30a521329eda/-/horizon-files-prod/ed/picture/qrzvvw4j/320a3efa92e7f0c08e327e8291ffcc1e72049fc7.jpg
Appartement meublé situé en face de vdn sipres.,"Vdn, Dakar",1 chambre,100.0,550000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/0f5c041a9494fa0bc53d17f3a3942107/-/horizon-files-prod/ed/picture/qenqpw86/b04e704fccd77adfaea61634087ae782998736ae.jpg
Appartement meublé à sicap foire,"Vdn, Dakar",2 chambre,120.0,45000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/fb8ff1a64fde97af5d603febdf06fdc8/-/horizon-files-prod/ed/picture/qqmrzj7/ad6c2c809589a2fee277514e0370f9725520c561.jpg
Casamigos - appartement meublé,"Amitié, Dakar",1 chambre,28.0,22000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/2889092a5459c4b90cf68b39703f3d74/-/horizon-files-prod/ed/picture/qm50m9w6/41c089e27bf7ab71cacbce63bb6f9241afc5decc.png
Appartements b2 d57 haut standing maristes,"Hann Maristes, Dakar",2 chambre,120.0,50000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/af8bf27743ee3b20a5208c9c1ff4ae9e/-/horizon-files-prod/ed/picture/qde7jzp5/83b3de79b7db80ac015926a036d8f609ac526875.jpg
Appartement meuble mamelles,"Ouakam, Dakar",2 chambre,60.0,45000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/e167393ad5b346205eeb53adaa70f6b6/-/horizon-files-prod/ed/picture/qm5gn072/272cfe2816ff3749948ccbfe94b78059ca3a89e9.jpg
Appartement 2 chambres meublées à louer aux plateau,"Plateau, Dakar",2 chambre,160.0,1000000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/80f8d327c0927453ca497f59d62c34bb/-/horizon-files-prod/ed/picture/qm50m9nw/15b7d69098bd736e27cfcff2b03b368ecf3e0631.jpg
Appartement meublé à fan résidence,"Fann, Dakar",3 chambre,180.0,2000000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/a67f09f31db2f0e635728a1de025cd14/-/horizon-files-prod/ed/picture/qpdgpq0j/f6bc72f64be061cee23667face4b78f85495708c.jpg
Mini studio,"Amitié, Dakar",1 chambre,20.0,17000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/58f953bcccee1e2fa7b6f4cd8414faff/-/horizon-files-prod/ed/picture/q785grme/c27b428f061ae83fa1b3ba7fadd24bfdbbfa59db.jpg
Villa meublée au cœur de saly,"Saly, Thiès",non précisé,,250000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/8c9a322ddadc8e3b228f0c7a226313c4/-/horizon-files-prod/ed/picture/qrzr200g/0c796521e7e2103dcba339d7e0e990fd70d95229.jpg
Beau studio meublé ngor-almadies,"Almadies, Dakar",1 chambre,140.0,25000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/2a3b0c9aa0be729ad9c98bc7b5b780a5/-/horizon-files-prod/ed/picture/q56xqqxp/348073bb9c93159e420003f1981e478a9a8ba310.jpg
Joli f3 avec terrasse privée,"Ngor, Dakar",2 chambre,130.0,700000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/2eed811b042a7c8add6932b631fd372b/-/horizon-files-prod/ed/picture/qj4qnmqw/afce3ee9c76d792c477e2dc945d614b36c983259.jpg
F3 magnifiquement meublé à louer au virage,"Virage, Dakar",non précisé,,40000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/20474d0c9564e87cd4703bb5275263e4/-/horizon-files-prod/ed/picture/q56dppxx/bb290102b6af0d0c17b73cb26604aafbf846b4e9.jpg
Appartement meublé de type f5,"Plateau, Dakar",4 chambre,128.0,,https://i.roamcdn.net/hz/ed/listing-thumb-224w/99c670649cc9e711721919a4908ce40c/-/horizon-files-prod/ed/picture/q56pwz0p/0f815916fb7dcfb1ef9ef0feca92560cb823e1cc.jpg
"Bel appartement meublé, spacieux et lumineux de 3 chambres","Point-E, Dakar",3 chambre,138.0,,https://i.roamcdn.net/hz/ed/listing-thumb-224w/8116a80d3a20f23736773df43fc601dd/-/horizon-files-prod/ed/picture/qngp8q5r/f34705f00dab6046fc5b005ca96dbdb6367bb448.jpg
Studio meublé sur bourguiba,"Avenue Bourguiba, Dakar",1 chambre,100.0,35000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/64613596394101b6f1a9d567c62d7542/-/horizon-files-prod/ed/picture/qm5gd7wj/75d002a790dc25d0d3a745a5f97b7d9e9e56553d.jpg
Sublime f4 haut standing fifa almadies,"Almadies, Dakar",3 chambre,250.0,70000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/26f4c84c504e0a919929d12ca17c372d/-/horizon-files-prod/ed/picture/q0gkp8e8/f9617530ece054080206fc14112d327a25f8d411.jpg
Appt f4 meublé aux almadies,"Almadies, Dakar",3 chambre,150.0,100000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/c10207465eda8109c3b15b6d2fe4a73e/-/horizon-files-prod/ed/picture/qv4dmkm8/ed637f7f378d76b909d3081533c3b6803ab88d47.jpg
Chambre meublées a louer à sacré coeur 3,"Sacré-Cœur, Dakar",non précisé,,20000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/e069b86fabd8442ae2e715076dd97420/-/horizon-files-prod/ed/picture/qm5g7erj/2263b986c69e38b5c6a804116aef6abbfdca0fa4.jpg
Apparemment meublé à louer aux points e,"Point-E, Dakar",3 chambre,200.0,1500000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/50f50a0655269a63ee7ea1fdffba927d/-/horizon-files-prod/ed/picture/q56pw9pn/ac143ee6aca9211b577a9c6da5fcc2d093d3a0e3.jpg
T3 meublé almadies,"Almadies, Dakar",2 chambre,150.0,1000000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/a09e448aa8716bf828a91281d7dbb16a/-/horizon-files-prod/ed/picture/q8vm05q4/807ab89bbaafd4c100ebf5b84ff52eaedb4edc51.jpg
Studio meublé près monument de la renaissance,"Ouakam, Dakar",1 chambre,30.0,20000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/2f1805df9f91f66619100721fa3d0e0e/-/horizon-files-prod/ed/picture/q0gkpwjd/11e986cb2a59ed3fb8fe618135d8ac662d179375.jpg
Vue mer 360• penthouse duplex f5,"Virage, Dakar",non précisé,,2000000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/b1f4ec395f020efe30641eda3e245b9e/-/horizon-files-prod/ed/picture/q44nkxx2/b4a23b54f93825e0eba8f4d94e4a2fe4459a31c6.jpg
Appartement meublé,"Keur Massar, Dakar",2 chambre,80.0,20000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/0eb50f10475f9d4a957dfbd070921bf4/-/horizon-files-prod/ed/picture/qwep5x96/01659d8e9bd05fbe7abf49f0a33547effdf6d650.jpg
Studio meublé,"Hlm Grand-Yoff, Dakar",non précisé,,15000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/0758bcac40640df09d709d0e399b926a/-/horizon-files-prod/ed/picture/q78jv798/0fa59861f17070374653fb50537d7e4f24959ddb.jpg
Appartement meublé de type f2,"Cité Keur Gorgui, Dakar",non précisé,,56000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/d2b92c61bdfc9cd3b58b99588216d1e5/-/horizon-files-prod/ed/picture/qq4zqd9e/518d5f82a0c81766fc794ce3f58ad3035d54769e.jpg
Charmant appartement f4 à louer aux mamelles,"Mamelles, Dakar",non précisé,,1300000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/93367bad630615e5410cd10d5948200d/-/horizon-files-prod/ed/picture/qng95g6g/3ee22f037ccacae48a7206d12972842a50a79781.jpg
Studio meublé à la cité keur gorgui,"Cité Keur Gorgui, Dakar",1 chambre,50.0,27500,https://i.roamcdn.net/hz/ed/listing-thumb-224w/efd06f02d53e977e9701d8b1595006bd/-/horizon-files-prod/ed/picture/q56pw6nn/a1078294c1c2b6a427e887c25e5a89c0dbe068e9.jpg
Studio meublé à louer à nord foire,"Ouest Foire, Dakar",non précisé,,25000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/3c218d800a99961dcfb972dd74cfafb5/-/horizon-files-prod/ed/picture/qgqwdwgr/d3eec0bae5f8cdee8d461c27c509f3378f1f7f6c.jpg
F4 meublé,"Sacré-Cœur, Dakar",non précisé,,65000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/3a1cb7a44b8ece8bfa125831aa1ac0ce/-/horizon-files-prod/ed/picture/q78jv8pz/b50552b14a33de56f02779e1cf68ea2df00de413.jpg
Chambres ou studios meublés,"Hann Maristes, Dakar",1 chambre,100.0,15000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/b93d9966e52a8873239b2a5df05c1ac8/-/horizon-files-prod/ed/picture/qzvp600r/c05f8839e4fad22dffce1ed900e08e740c203b05.jpg
Villa meublée à louer almadies,"Almadies, Dakar",non précisé,,1350000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/14266f9deab68f5cfd10e6b1abd8991f/-/horizon-files-prod/ed/picture/qwepwr2d/395dd1350bc959d5abd4ea5f28240c036d2f93cc.jpg
Appartement meublé à louer à ouest foire,"Ouest Foire, Dakar",non précisé,,50000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/9731ad5543d24ca0847ad2909c76e953/-/horizon-files-prod/ed/picture/q2j0pk4v/e5dbff759042caaabf311f8fbc23e60cc0664763.jpg
Appartement meublé à liberté 6 extension,"Liberte 6 Extension, Dakar",2 chambre,100.0,30000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/873271979b8a5ca161888c7af26d1c89/-/horizon-files-prod/ed/picture/q0g7mqw6/94db7dbfdd5d01bdb1e321f53ebe2a9aec8e9c6b.jpg
Très cozy studio cite keur gorgui,"Sacré-Cœur, Dakar",1 chambre,100.0,30000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/604e69bca6e0bef95a44be9f23dce30e/-/horizon-files-prod/ed/picture/qwepqdr4/3fb0d21889a171b531257ec117864cb3abc2f1d9.jpg
Studio meublé new-york,"Kounoune, Dakar",1 chambre,15.0,9000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/3132061ee074308b20160983898820e9/-/horizon-files-prod/ed/picture/qngpr68r/894742b80ed78a27d75c2b74b11fd8dbd05728af.jpg
Résidence la paix,"Cité Keur Gorgui, Dakar",non précisé,,50000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/d1c90260c5143d172d773c3f0f8d715a/-/horizon-files-prod/ed/picture/qngpr6qr/e645c5a2cdc42fcc8e4d5852ad88dcfc1b3b89ae.jpg
Chic et cosy à ngor,"Ngor, Dakar",non précisé,,450000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/bc0ae9bfa684277876c7b9a77bb5821a/-/horizon-files-prod/ed/picture/qkr89jzx/ff3abf1681e77e035a9e02cb7203d87fac38c61e.jpg
Villa meublée avec piscine fann hock,"Fann Hock, Dakar",non précisé,,2500000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/e567fd5467abacfea173c679dd8d144e/-/horizon-files-prod/ed/picture/q8v4qw07/87799f83552815fa3368e571b09b19e395693cd3.jpg
Appartement meublé avec piscine almadies,"Almadies, Dakar",non précisé,,1650000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/6c80cfb0fdd4b5e92e3abb6ea21f8a91/-/horizon-files-prod/ed/picture/qm5g42n2/1fafb5b73338578d7e51964ef44c8b64a986cac0.jpg
Appartement et chambre meublée à louer mermoz batrain,"Mermoz, Dakar",2 chambre,250.0,400000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/3f6a7137b12370bf13fb771ad1b0214e/-/horizon-files-prod/ed/picture/qxjpnrmz/5e8c5097b7d0664f9f67e331cdd51350180c98ae.jpg
"Superbe appartement meublé à keur massar, dakar","Keur Massar, Dakar",2 chambre,110.0,23000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/0d7c96dfc235d5a374012c901db2260e/-/horizon-files-prod/ed/picture/q604q8v/f456f55f653327df00cdd5625c403796f9764bca.jpg
Appartement meublé à mermoz,"Mermoz, Dakar",1 chambre,55.0,25000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/fa196204bfe683d8281944fb9f83b710/-/horizon-files-prod/ed/picture/q2jrpr0g/f33656f956f8153772bb15787f7c25924ee309f1.jpg
Virage almadi,"Virage, Dakar",3 chambre,180.0,1600000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/4113e48cbacc75177d85ec8927db1a92/-/horizon-files-prod/ed/picture/q78wn69z/83040c3edb895e8c0aa5fdde5e1cdd1cc7f4fb44.jpg
Appartement 2 chambres,"Ngor, Dakar",2 chambre,100.0,35000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/1445530bd372d1bd72fbdb6f57a23cc6/-/horizon-files-prod/ed/picture/q448pqer/681751d00575b0cdb4f1d6c99a5b9fe686ff939a.jpg
Résidence atlantis f2 avec balcon vue sur mer,"Almadies, Dakar",1 chambre,87.0,33000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/fda4577090bcf6ca673ba5568bc866e5/-/horizon-files-prod/ed/picture/q8v4wwpj/020051b91ae278637f4a5e453923a3616e2204ed.jpg
Dakar plateau: très bel appartement meublé à louer,"Plateau, Dakar",non précisé,,1200000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/2fb95f3179328e7a78c0cf0994b2889f/-/horizon-files-prod/ed/picture/q6xd0w44/b52330feab9774cf74185380a5265aa43d868f74.jpg
Appartement meublé à louer à fass,"Gueule-Tapée, Dakar",2 chambre,100.0,25000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/9a01f9fc701b2b1bb5f105b96f1afaad/-/horizon-files-prod/ed/picture/qxz75xm/cdddcc43265f328744c0171984a52b56a36ba1a3.jpg
F3 meublé à louer,"Plateau, Dakar",2 chambre,70.0,35000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/af6b240b45985e164f12c46532f8e960/-/horizon-files-prod/ed/picture/q2j0pgwp/19a29366e38b21f00c296a0f87c9f47ad2d02f66.jpg
Appartement meublé,"Rufisque, Dakar",2 chambre,85.0,20000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/2a112ea71342c1a02dc25c93ac07bc50/-/horizon-files-prod/ed/picture/qpk2ezr/36791951738317cfb19fb4a836b9d2313c035989.jpg
Cosy appartement neuf meublé,"Mermoz, Dakar",2 chambre,85.0,110000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/930fc2470a5e168c73ae1bb737c273bc/-/horizon-files-prod/ed/picture/qzvp7pgr/7d3f0f89189f7c5a72870f13f662cc4f2ca2e427.jpg
Bel appartement meublé,"Point-E, Dakar",2 chambre,175.0,900000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/699690b7e3ef439d7d67df207cfff1d5/-/horizon-files-prod/ed/picture/qzvpzr26/a418edfde20de6029444ab1ae477a18ee6a49e24.jpg
Studio deluxe meublé à ouest-foire,"Ouest Foire, Dakar",1 chambre,70.0,30000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/9b9f46a2dbff7429cb8fbafd46ad75ec/-/horizon-files-prod/ed/picture/qm5ge8mz/a4f949a333d74a946c3366eff573e772068cf183.jpg
Très luxueux studio meublé cité keur gorgui,"Sacré-Cœur, Dakar",1 chambre,140.0,30000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/b6ce4080799dd759241727e5e60abe95/-/horizon-files-prod/ed/picture/qpdmveqm/c4e09f46d1569d9e4c728f38509bd94d564a2933.jpg
Ref_3297_pl appartement f2 meublé à louer au point e,"Point-E, Dakar",non précisé,,45000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/af36d0bc19ccf8f7879913d3ab9c7e8b/-/horizon-files-prod/ed/picture/qgqw25k4/c8a8ad06f864179d0348349bcf08edb3ab23f07e.jpg
Ref_3295_pl appartement meublé à louer au point e,"Point-E, Dakar",non précisé,,55000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/3fd4cd3e3882699a1935afd5ab472da2/-/horizon-files-prod/ed/picture/q44nej62/0877e66476a3c7613cf56bfecb2f708f8c183f31.jpg
Très luxueux studio meublé à sacré coeur (cité keur gorgui),"Cité Keur Gorgui, Dakar",1 chambre,100.0,30000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/2ac12a764dc1dbcfe4659d72ea60ba1b/-/horizon-files-prod/ed/picture/q56dm570/99cf86ee7801622236501c7837a53e487d575a3d.jpg
Appartement meublé proche du centre ville de dakar,"Plateau, Dakar",non précisé,,37500,https://i.roamcdn.net/hz/ed/listing-thumb-224w/99e25545b1085d4e9c31a3136982a7b9/-/horizon-files-prod/ed/picture/q9m9jnm7/d9a0d7e48ecc6510b9ee58c6d5ced288dd9e7870.jpg
Appartement meublé a louer fass,"Fass, Dakar",non précisé,,45000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/5cb445855b5bbc297ec88434b61225d5/-/horizon-files-prod/ed/picture/qq42mjmp/0cef9fc8b18d4092df85b1c87dd3c133dac48074.jpg
